"Nr";"Kurzbezeichnung";"Einheit";"Matchcode"
1;"Niedervoltstrahler";"Stück";"Niedervoltstrahler"
2;"Sprechanlagen-Set mit Türstation und Sprechgerät.";"Stück";"Sprechanlagen-Set"
3;"Schließzylinder KMS2 + 2 Schlüssel";"Stück";"A15"
4;"Tagalarm m. 3 Schlüssel f. Notausgänge";"Stück";"A13"
5;"Schlüsselschalter m. Halbzylinder";"Stück";"A12"
6;"Kontroll-Lampe Bajonett 130V";"Stück";"A11"
7;"Infrarot-Bewegungsmelder AP, 360°";"Stück";"A0"
8;"NYM 3x1,5-l";"Meter";"N3"
9;"Siemens Unterbau-Kühlschrank KU15, inkl. Entsorgung des alten Kühlschranks. ";"Stück";"Siemens Unterb.-Kühlschrank"
10;"NYM 3x2,5qmm";"Meter";"N32"
11;"Elektronisches Vorschaltgerät bis 1x58W";"Stück";"LEV158"
12;"Wechselschalter a.P. FR";"Stück";"sfa2"
13;"Abzweigkasten a.P. FR 5/4x2,5";"Stück";"DA"
14;"Schalt- und Befestigungsmaterial";"Stück";"Sch"
15;"Diazed-Sicherung 35 - 63A";"Stück";"yd2"
16;"Sicherungselement kpl. bis 25A";"Stück";"yd12"
17;"NYAF 10qmm";"Meter";"nf10"
18;"NYM 4x10 qmm";"Meter";"N410"
19;"NSHöu (H07RN-F) 5x2,5 qmm";"Meter";"NS52"
20;"NH-Sicherung Gr. 00, 25 - 125A";"Stück";"YH1"
21;"CEE-Stecker 16A, 5-polig w. ";"Stück";"C1"
22;"CEE-Kupplung 16A, 3-polig";"Stück";"C10"
23;"CEE-Steckdose 16A, 5-polig";"Stück";"C11"
24;"CEE-Steckdose 32A, 5-polig";"Stück";"C12"
25;"CEE-Steckdose 63A, 5-polig";"Stück";"C13"
26;"CEE-Steckdose 125a, 5-polig";"Stück";"C14"
27;"CEE-Steckdose 16A, 3-polig";"Stück";"C15"
28;"Gummistecker Schuko FR";"Stück";"C16"
29;"Gummikupplung Schuko FR";"Stück";"C17"
30;"Schuko-Winkelstecker";"Stück";"C18"
31;"Schukostecker";"Stück";"C19"
32;"CEE-Stecker 32A, 5-polig";"Stück";"C2"
33;"Schukokupplung";"Stück";"C20"
34;"Perilex-Kupplung Wassergesch.";"Stück";"C21"
35;"Perilex-Steckdose u. P. FR 16A";"Stück";"C22"
36;"Perilex-Steckdose a. P. FR 16A";"Stück";"C23"
37;"CEE-Kupplung 32a, 5-polig";"Stück";"C7"
38;"NYA 4qmm";"Meter";"NA4"
39;"Trageschienen 3-längig, kpl";"Stück";"LI2"
40;"Trageschienenverbinder mit Kl. ";"Stück";"LI3"
41;"Hängekette leicht";"Meter";"BH6"
42;"Verteilung a. P.  FR 3-reihig, leer";"Stück";"V17"
43;"Leitungsschutzschalter 6 -16 A Charakteristik B Typ Hager";"Stück";"YE1"
44;"Leitungsschutzschalter 6 -16 A Charakteristik C";"Stück";"YE3"
45;"FI-Schutzschalter 25A/30mA, 2-polig";"Stück";"SC5"
46;"Sammelschiene 3-polig";"Stück";"YK5"
